"","x"
"1",0.00402915570884943
"2",0.00150737829972059
"3",0.00159744173288345
"4",0.0019008134258911
"5",0.00201220787130296
"6",0.0016732846852392
"7",0.00206671981140971
"8",0.00328731699846685
"9",0.00468804128468037
"10",0.00517390994355083
"11",0.00375659530982375
"12",0.00395805295556784
"13",0.00133436161559075
"14",0.00222314591519535
"15",0.00237720180302858
"16",0.00580909475684166
"17",0.00556260487064719
"18",0.000696806935593486
"19",0.00732121290639043
"20",0.00577828334644437
"21",0.00172542664222419
"22",0.00373763451352715
"23",0.00780945178121328
"24",0.00644190888851881
"25",0.00488949893042445
"26",0.00195769569836557
"27",0.00246726535260677
"28",0.00338212074711919
"29",0.003837178228423
"30",0.00648457044735551
"31",0.00467382045462728
"32",0.00612668693065643
"33",0.00545358099043369
"34",0.00403152592480183
"35",0.0087622283026576
"36",0.00395568273961544
"37",0.00201457785442472
"38",0.00158796133473516
"39",0.000966997351497412
"40",0.00654619326815009
"41",0.00474729342386127
"42",0.00517628015950322
"43",0.0075297811999917
"44",0.00567873939871788
"45",0.00685193482786417
"46",0.00615038769319654
"47",0.00485631776973605
"48",0.00663625635206699
"49",0.00184630136936903
"50",0.0027374557685107
"51",0.00495823146775365
"52",0.00496060168370605
"53",0.00360727938823402
"54",0.00469515146687627
"55",0.00364757096394897
"56",0.00927653815597296
"57",0.00726433098316193
"58",0.00640872772783041
"59",0.00342004210688174
"60",0.00277537736110389
"61",0.00523079233244061
"62",0.00191740412265062
"63",0.00160455203149468
"64",0.00400782469660044
"65",0.00555312447249889
"66",0.00299579580314457
"67",0.00516916997730732
"68",0.00997334532439709
"69",0.00406233686953783
"70",0.00882148090749979
"71",0.00891865510493517
"72",0.0064395391382277
"73",0.00279907812364399
"74",0.00037921464536339
"75",0.00316644250415266
"76",0.00656278384849429
"77",0.00239616259932518
"78",0.00743023725226521
"79",0.0043064565397799
"80",0.00924572721123695
"81",0.00453398516401649
"82",0.0064750905148685
"83",0.00645138928666711
"84",0.00830954127013683
"85",0.00239853281527758
"86",0.00329442741349339
"87",0.00372104393318295
"88",0.00716004660353065
"89",0.00471411226317286
"90",0.00423298357054591
"91",0.00193873490206897
"92",0.0027895977254957
"93",0.00612668693065643
"94",0.00561711704358459
"95",0.00905374996364117
"96",0.00476625422015786
"97",0.00363809056580067
"98",0.00257391948252916
"99",0.00362861016765237
"100",0.00213308236561716
"101",0.0125306742265821
"102",0.00419032201170921
"103",0.00487053813412786
"104",0.00703917210921645
"105",0.00363098038360476
"106",0.00739705609157681
"107",0.00476862443611026
"108",0.0044012600556016
"109",0.00134384189732373
"110",0.00338923092931509
"111",0.00156426045577973
"112",0.0043088267557323
"113",0.00342952250503004
"114",0.0043230471201241
"115",0.00504592526704073
"116",0.00568821979686618
"117",0.00409788824617863
"118",0.00376370549201965
"119",0.00338686094619334
"120",0.0054678013548255
"121",0.00471174204722047
"122",0.00349588505923748
"123",0.002694794209674
"124",0.00519998092204332
"125",0.00612431671470404
"126",0.00388695020228624
"127",0.00562185747548938
"128",0.00391065096482635
"129",0.00436096871271729
"130",0.00527582410722971
"131",0.00676187127828598
"132",0.0014173147501424
"133",0.0020880508236587
"134",0.00247674575075507
"135",0.00352906645275652
"136",0.00462878914549947
"137",0.00457190675660968
"138",0.00628785323351622
"139",0.00459323776885867
"140",0.00244830455631018
"141",0.00373052409850061
"142",0.00503644486889243
"143",0.00281803891994059
"144",0.0044178506359458
"145",0.0018747424473986
"146",0.00401967531070113
"147",0.00402915570884943
"148",0.00300290598534048
"149",0.00455531617626548
"150",0.0121964914724231
"151",0.00454820599406958
"152",0.00638265674933791
"153",0.00677372189238667
"154",0.00742075685411692
"155",0.00627600261941552
"156",0.0021473029628396
"157",0.00263317185454071
"158",0.00319014326669276
"159",0.00296498462557793
"160",0.00334893935360014
"161",0.00169224536512047
"162",0.00341293192468584
"163",0.00491794012486935
"164",0.00570007041096687
"165",0.00582805508747697
"166",0.00194347510114312
"167",0.00447473302483559
"168",0.00329679739661515
"169",0.00630918378010392
"170",0.00750134000554681
"171",0.00392961176112294
"172",0.00285833049565554
"173",0.00675476109609008
"174",0.0054085492156446
"175",0.00794928707182407
"176",0.00925757829099894
"177",0.00937371235340834
"178",0.0054464703425765
"179",0.00659833522513509
"180",0.0075487419962883
"181",0.00262843165546656
"182",0.00203827884979546
"183",0.00497245229780674
"184",0.00288677169010043
"185",0.00801328010857105
"186",0.00526160327717662
"187",0.0043988898396492
"188",0.0032233246602118
"189",0.0065509332343936
"190",0.00367364194244146
"191",0.00424009375274181
"192",0.00381584744900465
"193",0.00360490940511227
"194",0.00156900065485388
"195",0.00301712658256292
"196",0.00640872772783041
"197",0.00607928493991494
"198",0.00281092873774469
"199",0.00707472348585725
"200",0.00359068880788982
"201",0.00399597454816103
"202",0.00396753335371614
"203",0.00410499889403582
"204",0.00348166469484568
"205",0.00300764618441463
"206",0.00317355268634856
"207",0.00332523859106004
"208",0.00323517504148185
"209",0.00286070047877729
"210",0.00232031964696944
"211",0.00294602382928133
"212",0.0038561390247196
"213",0.00611483631655574
"214",0.00575695233419538
"215",0.00561711704358459
"216",0.00590626848861575
"217",0.00257391948252916
"218",0.00390828121453524
"219",0.00264739221893251
"220",0.0065390826202929
"221",0.00985721126198769
"222",0.00663862656801939
"223",0.00521894171833992
"224",0.00904427003115416
"225",0.00741601688787341
"226",0.00922202691435814
"227",0.0118504576385021
"228",0.00291047245264053
"229",0.00473307305946946
"230",0.00623097084462643
"231",0.00336078996770084
"232",0.00681401323527098
"233",0.00394146237522364
"234",0.00389406061731279
"235",0.0076577658765018
"236",0.00499378284439445
"237",0.00674528069794178
"238",0.00225869729183614
"239",0.00356698781251907
"240",0.00912011228501797
"241",0.00326361623592675
"242",0.00123718776740134
"243",0.0021994449198246
"244",0.00783078279346228
"245",0.00394857255741954
"246",0.00389406061731279
"247",0.00893761590123177
"248",0.00805357098579407
"249",0.00658885482698679
"250",0.0075037102214992
"251",0.00345322350040078
"252",0.00662440620362759
"253",0.00351721607148647
"254",0.00269716419279575
"255",0.00126562896184623
"256",0.00386561942286789
"257",0.00474255345761776
"258",0.00621675048023462
"259",0.00446288241073489
"260",0.00684482464566827
"261",0.00749659957364202
"262",0.00934053119271994
"263",0.00617645867168903
"264",0.00643242849037051
"265",0.0032328050583601
"266",0.00224921689368784
"267",0.0021638935431838
