date,d18o,t2m,precip,RH
4/1/1965,-3.097731113,281.7341614,0.002886772,78.87355042
5/1/1965,-4.362875462,280.808075,0.00801328,85.35917664
6/1/1965,-5.735379219,279.9685364,0.005261603,80.43618774
7/1/1965,-5.842155457,277.9951782,0.00439889,83.82419586
8/1/1965,-5.299483299,279.4284668,0.003223325,79.95218658
9/1/1965,-3.328482628,280.4411011,0.006550933,83.39550781
10/1/1965,-2.269398928,281.9297791,0.003673642,73.63052368
11/1/1965,-3.339347839,282.525238,0.004240094,78.01617432
12/1/1965,-3.992544174,286.686615,0.003815847,72.95489502
1/1/1966,-5.059114933,286.9289551,0.003604909,71.20063782
2/1/1966,-3.247702837,286.7212219,0.001569001,75.34329987
3/1/1966,-3.936715364,286.4234924,0.003017127,75.10228729
4/1/1966,-5.714223862,282.2655945,0.006408728,84.50772858
5/1/1966,-6.584972382,281.0123291,0.006079285,87.60929108
6/1/1966,-4.451137066,278.8018188,0.002810929,82.03042603
7/1/1966,-5.863291264,277.8739929,0.007074723,87.8423996
8/1/1966,-4.786984921,278.9939575,0.003590689,82.17661285
9/1/1966,-5.200923443,280.5795898,0.003995975,78.72538757
10/1/1966,-2.371607065,282.0319214,0.003967533,74.74472046
11/1/1966,-4.607085705,284.1195068,0.004104999,75.97941589
12/1/1966,-2.07688427,284.8690491,0.003481665,77.13509369
1/1/1967,-4.95752573,285.230835,0.003007646,75.05882263
2/1/1967,-2.821140766,287.2232361,0.003173553,68.39935303
3/1/1967,-2.638192177,284.9088745,0.003325239,77.46302795
4/1/1967,-2.999769926,283.2349548,0.003235175,77.93715668
5/1/1967,-2.573416233,280.7163391,0.0028607,76.09992218
6/1/1967,-2.548272133,280.2489624,0.00232032,73.07540131
7/1/1967,-4.639507771,278.8035583,0.002946024,77.78899384
8/1/1967,-5.691431999,278.2790527,0.003856139,83.08535767
9/1/1967,-1.535940409,279.605011,0.006114836,83.84197998
10/1/1967,-0.932431519,282.0578613,0.005756952,80.17541504
11/1/1967,-4.079181671,282.6672058,0.005617117,78.94269562
12/1/1967,-3.36646986,284.1004639,0.005906268,77.61316681
1/1/1968,-2.841974258,287.1349487,0.002573919,71.3013916
2/1/1968,-2.338055134,287.6213684,0.003908281,74.24886322
3/1/1968,-5.135926723,285.9630432,0.002647392,77.51834106
4/1/1968,-5.886724472,283.4686584,0.006539083,85.00358582
5/1/1968,-5.954277992,279.7192688,0.009857211,92.65081787
6/1/1968,-2.964894056,278.5283203,0.006638627,89.41294098
7/1/1968,-4.43910408,278.452179,0.005218942,90.52713013
8/1/1968,-5.658950806,278.434845,0.00904427,89.66580963
9/1/1968,-1.180533767,279.4336548,0.007416017,89.44850159
10/1/1968,-3.152106047,280.8461609,0.009222027,83.01226044
11/1/1968,-3.766875505,281.2287292,0.011850458,91.34499359
12/1/1968,-3.076727152,285.0854187,0.002910472,73.19590759
1/1/1969,-1.445520878,286.7662354,0.004733073,74.26071167
2/1/1969,-4.088497639,288.4401245,0.006230971,78.43893433
3/1/1969,-4.001726151,285.6878052,0.00336079,79.51164246
4/1/1969,-2.419002771,282.9787903,0.006814013,87.36037445
5/1/1969,-8.151073456,280.8409729,0.003941462,83.3006897
6/1/1969,-5.033709526,277.9813232,0.003894061,82.86804962
7/1/1969,-4.969295025,279.3973083,0.007657766,89.6993866
8/1/1969,-2.601593494,279.5409851,0.004993783,83.84197998
9/1/1969,-5.661902428,277.8774719,0.006745281,90.55281067
10/1/1969,-0.275474191,281.9107361,0.002258697,74.60643005
11/1/1969,-3.241325617,284.0693054,0.003566988,77.4353714
12/1/1969,-3.772318602,283.2539978,0.009120112,83.31649017
1/1/1970,-5.232860565,287.4984741,0.003263616,75.22081757
2/1/1970,-2.066458464,286.0374756,0.001237188,72.59337616
3/1/1970,-2.184289694,285.3139038,0.002199445,70.94184113
4/1/1970,-5.03726387,283.7923584,0.007830783,81.44172668
5/1/1970,-3.005154133,279.9979553,0.003948573,83.79456329
6/1/1970,-6.115961552,279.3782654,0.003894061,82.6053009
7/1/1970,-6.375740528,278.7308655,0.008937616,94.23123169
8/1/1970,-4.844751358,277.9778748,0.008053571,84.15016174
9/1/1970,-3.782584667,278.5646667,0.006588855,83.7570343
10/1/1970,-1.998633623,280.484375,0.00750371,83.53577423
11/1/1970,-1.55967176,284.5522766,0.003453224,73.76288605
12/1/1970,-5.241494656,285.0542603,0.006624406,79.87513733
1/1/1971,-6.512594223,288.447052,0.003517216,77.60527039
2/1/1971,-3.125220537,289.5272217,0.002697164,72.02640533
3/1/1971,-1.389216423,286.7247009,0.001265629,74.32392883
4/1/1971,-3.949342489,284.308197,0.003865619,77.09360504
5/1/1971,-8.821410179,280.165863,0.004742553,80.49347687
6/1/1971,-4.921667099,278.8329773,0.00621675,87.41371155
7/1/1971,-2.939373255,278.720459,0.004462882,84.95616913
8/1/1971,-6.440843105,278.2686768,0.006844825,87.31098938
9/1/1971,-3.156438589,279.5877075,0.0074966,89.60851288
10/1/1971,-4.984296322,280.217804,0.009340531,87.1035614
11/1/1971,-3.23900795,283.1224365,0.006176459,81.73014832
12/1/1971,-1.968099833,285.2758484,0.006432428,82.89768219
1/1/1972,-7.711833954,287.4586487,0.003232805,74.91658783
2/1/1972,-4.207849503,289.2156372,0.002249217,66.07614136
3/1/1972,-4.343433857,284.9417419,0.002163894,74.69137573
4/1/1972,-5.175245762,283.0185852,0.00646324,80.21690369
5/1/1972,-4.693231583,281.2581482,0.002621321,78.0141983
6/1/1972,-6.612229347,278.8658752,0.00415003,79.26865387
7/1/1972,-5.685281277,278.138855,0.009335791,89.71914673
8/1/1972,-5.109136105,279.303833,0.00467382,85.22089386
9/1/1972,-3.303708315,280.8253784,0.007615104,86.86254883
10/1/1972,-4.58332777,281.8709106,0.003448483,76.99088287
11/1/1972,0.557238996,283.5050049,0.003713934,73.64237976
12/1/1972,-4.256463051,284.7271118,0.005451211,82.00276947
1/1/1973,-4.235275269,287.3824768,0.004688041,74.25479126
2/1/1973,-3.408913136,287.8308105,0.004360969,82.16871643
3/1/1973,-3.122546911,283.5067444,0.005913379,85.09050751
4/1/1973,-4.457343578,283.5361633,0.006041363,83.82814789
5/1/1973,-4.852801323,281.6130066,0.007802342,91.47933197
6/1/1973,-2.371859074,277.5797424,0.003993604,85.24262238
7/1/1973,-4.119051456,279.2155457,0.003754225,83.03201294
8/1/1973,-3.035107613,278.5231323,0.004557686,84.22325134
9/1/1973,-4.655711651,280.3043518,0.009245727,83.87161255
10/1/1973,-4.493294716,282.838562,0.003811107,81.24021912
11/1/1973,-6.343201637,282.9407043,0.004256684,79.98971558
12/1/1973,-3.573983431,286.5083313,0.006302074,75.89842224
1/1/1974,-2.330678701,289.1481323,0.001486047,67.50641632
2/1/1974,-0.94238162,286.6554565,0.002763527,78.61870575
3/1/1974,-1.78874886,287.280365,0.002225516,75.53887177
4/1/1974,-3.31738472,283.0082092,0.003010016,83.53775024
5/1/1974,-3.202388525,280.6436462,0.001604552,78.09914398
6/1/1974,-4.789361,279.4457703,0.00335605,85.45400238
7/1/1974,-5.410862446,278.3587036,0.007596144,87.66460419
8/1/1974,-7.745001793,278.3708191,0.005522314,82.43936157
9/1/1974,-2.411845922,279.1497498,0.006686029,90.14388275
10/1/1974,-0.886369228,281.4779968,0.00542751,78.90318298
11/1/1974,-3.573541164,282.4438782,0.003979384,78.32633209
12/1/1974,-4.333368301,284.1073914,0.008885473,82.4828186
1/1/1975,-3.977632284,285.1286926,0.004339638,77.90357208
2/1/1975,-2.389496326,287.5157776,0.000737099,68.49022675
3/1/1975,-4.043969631,284.4328308,0.006588855,83.37180328
4/1/1975,-5.001421452,282.2275085,0.003486405,81.61359406
5/1/1975,-3.40454793,280.792511,0.008456487,86.43781281
6/1/1975,-5.338121891,278.4469604,0.003834808,85.91627502
7/1/1975,-5.164957523,278.7793274,0.007577183,89.24501801
8/1/1975,-5.668243408,278.3275452,0.00568111,88.32640839
9/1/1975,-4.980584145,280.8876953,0.006261782,83.79653931
10/1/1975,-5.285043716,281.5385742,0.004699892,82.22007751
11/1/1975,-6.855626106,284.4795532,0.007280922,80.21097565
12/1/1975,-5.20425415,286.395813,0.002372462,73.30851746
1/1/1976,-2.722167492,286.5256348,0.003597799,73.12677002
2/1/1976,-10.31851196,287.7857971,0.001533449,74.86917114
3/1/1976,-2.808125734,285.5130005,0.00206198,76.2105484
4/1/1976,-6.985312462,282.8177795,0.004775735,84.66379547
