"","x"
"376",283.594482421875
"377",281.593231201172
"378",279.200592041016
"379",278.549957275391
"380",278.851470947266
"381",281.173583984375
"382",282.351409912109
"383",283.730224609375
"384",285.2783203125
"385",287.113800048828
"386",287.050323486328
"387",286.447326660156
"388",282.806304931641
"389",281.115417480469
"390",278.479431152344
"391",277.493804931641
"392",280.701049804688
"393",279.482696533203
"394",281.152435302734
"395",284.072296142578
"396",285.320648193359
"397",284.417877197266
"398",288.222869873047
"399",285.809051513672
"400",282.178619384766
"401",281.877105712891
"402",278.368347167969
"403",278.546447753906
"404",280.505340576172
"405",279.761291503906
"406",281.684936523438
"407",283.404052734375
"408",285.932464599609
"409",285.514587402344
"410",286.181091308594
"411",284.622406005859
"412",282.644104003906
"413",281.510375976562
"414",280.306091308594
"415",277.948699951172
"416",279.311676025391
"417",279.274627685547
"418",281.836547851562
"419",284.276824951172
"420",284.25390625
"421",285.177825927734
"422",285.347076416016
"423",286.926910400391
"424",284.516632080078
"425",281.697265625
"426",278.315460205078
"427",278.276672363281
"428",279.346923828125
"429",280.247924804688
"430",282.517150878906
"431",284.885131835938
"432",286.362701416016
"433",285.474029541016
"434",285.255401611328
"435",285.652130126953
"436",283.0390625
"437",281.372833251953
"438",278.165588378906
"439",278.650451660156
"440",279.006622314453
"441",280.226776123047
"442",280.902069091797
"443",283.460479736328
"444",284.465484619141
"445",284.680603027344
"446",285.558685302734
"447",283.296478271484
"448",283.546875
"449",281.295257568359
"450",279.401580810547
"451",278.239624023438
"452",279.278167724609
"453",280.944396972656
"454",281.930023193359
"455",283.865997314453
"456",284.955657958984
"457",287.871978759766
"458",285.94482421875
"459",285.839019775391
"460",284.1904296875
"461",282.774597167969
"462",280.937316894531
"463",279.967559814453
"464",279.944641113281
"465",281.896514892578
"466",281.060760498047
"467",284.816375732422
"468",286.702972412109
"469",287.596923828125
"470",288.416809082031
"471",286.741790771484
"472",284.76171875
"473",281.439849853516
"474",278.583465576172
"475",278.618713378906
"476",278.999572753906
"477",281.066040039062
"478",281.409881591797
"479",284.650634765625
"480",286.061187744141
"481",286.671264648438
"482",287.633941650391
"483",286.048828125
"484",284.163970947266
"485",281.365783691406
"486",279.881164550781
"487",279.085968017578
"488",278.253753662109
"489",280.612915039062
"490",282.466033935547
"491",283.827209472656
"492",285.140808105469
"493",286.798187255859
"494",284.885131835938
"495",284.202758789062
"496",282.584167480469
"497",281.064270019531
"498",280.879150390625
"499",279.297546386719
"500",278.738616943359
"501",280.251434326172
"502",282.317901611328
"503",282.829254150391
"504",285.419372558594
"505",284.532501220703
"506",286.450836181641
"507",286.01708984375
"508",283.622680664062
"509",281.450408935547
"510",278.026275634766
"511",279.241119384766
"512",278.738616943359
"513",279.17236328125
"514",282.728729248047
"515",283.455169677734
"516",286.741790771484
"517",286.930450439453
"518",287.078552246094
"519",285.923645019531
"520",284.266235351562
"521",281.5703125
