"","x"
"1",79.6380767822266
"2",72.7296905517578
"3",71.4436264038086
"4",74.0453872680664
"5",82.1153717041016
"6",79.7783355712891
"7",81.8822631835938
"8",84.9956817626953
"9",80.9517974853516
"10",74.6419906616211
"11",73.8636322021484
"12",65.8884658813477
"13",64.5589447021484
"14",69.4463806152344
"15",78.0951995849609
"16",87.5006408691406
"17",85.2781829833984
"18",71.3231201171875
"19",87.7278213500977
"20",86.431884765625
"21",69.1717834472656
"22",68.286750793457
"23",83.0201644897461
"24",76.2678451538086
"25",77.7909698486328
"26",78.8814544677734
"27",74.758544921875
"28",83.13671875
"29",82.5262832641602
"30",87.3840789794922
"31",81.8822631835938
"32",84.7704696655273
"33",86.6412887573242
"34",79.6815338134766
"35",78.5910491943359
"36",77.3049850463867
"37",71.603645324707
"38",69.0433731079102
"39",70.0113754272461
"40",84.5669937133789
"41",83.4587249755859
"42",85.0272903442383
"43",87.8048706054688
"44",86.4358367919922
"45",82.3820724487305
"46",78.1090240478516
"47",79.7625350952148
"48",82.8700256347656
"49",67.8896713256836
"50",85.0569229125977
"51",82.630989074707
"52",82.3089752197266
"53",84.6144027709961
"54",84.2943725585938
"55",75.1931610107422
"56",89.6144409179688
"57",73.3124694824219
"58",80.9063568115234
"59",71.6510543823242
"60",76.4436645507812
"61",78.7451400756836
"62",77.3682022094727
"63",78.7609481811523
"64",80.8727722167969
"65",85.7444000244141
"66",76.2915496826172
"67",88.6859512329102
"68",90.4955215454102
"69",79.7901916503906
"70",85.9893646240234
"71",87.4374237060547
"72",76.7518463134766
"73",70.7660217285156
"74",65.9398345947266
"75",73.606819152832
"76",86.830940246582
"77",77.1785583496094
"78",87.8720321655273
"79",89.1916809082031
"80",90.663444519043
"81",82.1963729858398
"82",85.8135452270508
"83",84.5571136474609
"84",86.7815475463867
"85",74.6163101196289
"86",73.6305236816406
"87",79.5195465087891
"88",85.3394241333008
"89",82.2358856201172
"90",78.1544647216797
"91",81.2204666137695
"92",82.8048324584961
"93",80.2919692993164
"94",88.6326065063477
"95",84.2805404663086
"96",78.1939697265625
"97",77.9865417480469
"98",76.9987869262695
"99",80.0726928710938
"100",70.580322265625
"101",89.5828323364258
"102",85.7779846191406
"103",89.1936569213867
"104",88.9388122558594
"105",84.5827941894531
"106",82.1845169067383
"107",74.1461334228516
"108",84.2410354614258
"109",65.2325973510742
"110",80.5270614624023
"111",74.9363403320312
"112",71.1611251831055
"113",85.4342498779297
"114",81.3864059448242
"115",89.3793563842773
"116",83.3105621337891
"117",82.7001266479492
"118",70.3057250976562
"119",74.3851699829102
"120",77.4768600463867
"121",69.643928527832
"122",76.3863754272461
"123",76.4219284057617
"124",83.2927856445312
"125",85.171501159668
"126",81.5088882446289
"127",85.4421463012695
"128",82.1608123779297
"129",81.1631774902344
"130",80.3670425415039
"131",84.6499633789062
"132",66.3408660888672
"133",62.2831497192383
"134",69.2409210205078
"135",77.8956680297852
"136",78.2236022949219
"137",87.713996887207
"138",82.8423690795898
"139",87.0403442382812
"140",79.4306488037109
"141",70.0903930664062
"142",79.9363784790039
"143",77.6092147827148
"144",78.0339584350586
"145",72.0738143920898
"146",74.7131118774414
"147",79.2745819091797
"148",73.6206436157227
"149",86.4733657836914
"150",90.7503662109375
"151",83.3718032836914
"152",85.6871109008789
"153",82.5164031982422
"154",81.2560272216797
"155",78.4903030395508
"156",73.6937408447266
"157",69.869140625
"158",80.2129516601562
"159",80.0509567260742
"160",79.7783355712891
"161",80.9340133666992
"162",78.3026275634766
"163",84.0573120117188
"164",76.93359375
"165",78.668098449707
"166",70.6613235473633
"167",76.5858993530273
"168",73.8596878051758
"169",83.7274017333984
"170",80.1675109863281
"171",76.9968109130859
"172",85.4006652832031
"173",85.8708343505859
"174",78.9545440673828
"175",91.742073059082
"176",91.3963623046875
"177",87.8246231079102
"178",82.7890243530273
"179",81.9711608886719
"180",86.8783493041992
"181",76.9039611816406
"182",67.0283432006836
"183",78.3816452026367
"184",78.8735504150391
"185",85.3591766357422
"186",80.4361877441406
"187",83.8241958618164
"188",79.9521865844727
"189",83.3955078125
"190",73.6305236816406
"191",78.0161743164062
"192",72.9548950195312
"193",71.2006378173828
"194",75.3432998657227
"195",75.1022872924805
"196",84.5077285766602
"197",87.6092910766602
"198",82.0304260253906
"199",87.842399597168
"200",82.1766128540039
"201",78.7253875732422
"202",74.7447204589844
"203",75.9794158935547
"204",77.1350936889648
"205",75.0588226318359
"206",68.3993530273438
"207",77.4630279541016
"208",77.9371566772461
"209",76.0999221801758
"210",73.0754013061523
"211",77.7889938354492
"212",83.0853576660156
"213",83.8419799804688
"214",80.1754150390625
"215",78.9426956176758
"216",77.613166809082
"217",71.3013916015625
"218",74.2488632202148
"219",77.5183410644531
"220",85.0035858154297
"221",92.6508178710938
"222",89.4129409790039
"223",90.5271301269531
"224",89.6658096313477
"225",89.4485015869141
"226",83.0122604370117
"227",91.3449935913086
"228",73.1959075927734
"229",74.2607116699219
"230",78.4389343261719
"231",79.5116424560547
"232",87.3603744506836
"233",83.3006896972656
"234",82.868049621582
